Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""""","=""""",0,3.88,Bantam Classics,Paperback,201,1972,1915,2024/02/07,2024/02/07,,,read,,,,1,0
246035,An Enemy of the People,Henrik Ibsen,"Ibsen, Henrik",,"=""1595406441""","=""9781595406446""",0,3.86,1st World Library,Paperback,160,2004,1882,2024/01/28,2024/01/28,,,read,,,,1,0
49628,Cloud Atlas,David Mitchell,"Mitchell, David",,"=""0375507256""","=""9780375507250""",0,4.01,Random House,Paperback,509,2004,2004,2024/01/22,2024/01/22,,,read,,,,1,0
4631,A Moveable Feast,Ernest Hemingway,"Hemingway, Ernest",James Naughton,"=""""","=""""",4,4.02,Vintage,Paperback,192,2012,1964,2021/06/15,2021/06/15,,,read,,,,1,0
83017,The Tartar Steppe,Dino Buzzati,"Buzzati, Dino",Stuart Hood,"=""1567923046""","=""9781567923049""",4,4.21,Verba Mundi,Paperback,198,2005,1940,2021/01/13,2021/01/13,,,read,,,,1,0
50798,Jude the Obscure,Thomas Hardy,"Hardy, Thomas","Patricia Ingham, Dennis Taylor, Jenny Sterlin, Mark Oxford, James Oliver Smith Jr.","=""0486452433""","=""9780486452432""",0,3.83,Dover Publications,Paperback,310,2006,1895,2023/11/23,2023/11/23,,,read,,,,1,0
25807,The Postman Always Rings Twice,James M. Cain,"Cain, James M.",,"=""0752861743""","=""9780752861746""",0,3.77,Orion,Hardcover,116,2010,1934,2023/11/21,2023/11/21,,,read,,,,1,0
175324,Double Star,Robert A. Heinlein,"Heinlein, Robert A.",,"=""0345330137""","=""9780345330130""",0,3.91,Del Rey,Mass Market Paperback,243,1986,1956,2023/11/20,2023/11/20,,,read,,,,1,0
616035,The Necklace and Other Tales,Guy de Maupassant,"Maupassant, Guy de","Joachim Neugroschel, Adam Gopnik","=""0375757171""","=""9780375757174""",0,3.95,Modern Library,Paperback,224,2003,1884,2023/11/18,2023/11/17,,,read,,,,1,0
41814,I. Asimov: A Memoir,Isaac Asimov,"Asimov, Isaac",,"=""055356997X""","=""9780553569971""",0,4.02,Bantam,Mass Market Paperback,578,1995,1994,2023/11/03,2023/11/03,,,read,,,,1,0
88442,Austerlitz,W.G. Sebald,"Sebald, W.G.",Anthea Bell,"=""0140297995""","=""9780140297997""",0,4,Penguin Books Ltd,Paperback,415,2002,2001,,2023/11/02,to-read,to-read (#25),to-read,,,,0,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",0,3.93,Scribner,Paperback,180,1925,1925,2023/10/09,2023/10/09,,,read,,,,1,0
